Product Name,Manufacturer Name,Pages
5 CPVC Vertical 3-Way Ball Valves EPDM Schedule 80 CPVC Industrial Product,Manufacturing,[9]
"Rated for Vacuum Service Compact 2000 Ball Valves are a Maintenance-Free, Sealed Unit",Manufacturing,[15]
Schedule 80 CPVC Industrial Product,Manufacturing,[7]
