Product Name,Manufacturer Name,Pages
General System,Ah batteries Potter Electric Signal,[12]
"Quadrasync feature synchronizes strobes from AMSECO, Gentex, Cooper-Wheelock and System",Ah batteries Potter Electric Signal,[12]
"Sync, System",Potter Electric Signal,[14]
and System,Ah batteries Potter Electric Signal,[12]
